Course,Course Number,Course Title,Credit Hours,Instructor,Days,Location,Start Time,End Time
ENGL,2120,World Literature,3,David Charles Foltz,MWF,Online,13:25:00,14:15:00
ENGL,2120,World Literature,3,Kenneth Michael Tuite,TR,Online,11:00:00,12:15:00
ENGL,2120,World Literature,3,Andrew P Mathas,TR,Online,12:30:00,13:45:00
ENGL,2120,World Literature,3,David Charles Foltz,MWF,Online,12:02:00,13:10:00
ENGL,2120,World Literature,3,Andrew P Mathas,TR,Online,14:00:00,15:15:00
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,8:00:00,8:50:00
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,9:05:00,9:55:00
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,10:10:00,11:00:00
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,11:15:00,12:05:00
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,
ENGL,2120,World Literature,3,April Ayers Lawson,Asynchronous,Online,,
ENGL,2120,World Literature,3,April Ayers Lawson,Asynchronous,Online,,
ENGL,2120,World Literature,3,Karen N Kettnich,Asynchronous,Online,,
ENGL,2120,World Literature,3,Karen N Kettnich,Asynchronous,Online,,
ENGL,2120,World Literature,3,Melissa Makala,Asynchronous,Online,,
ENGL,2120,World Literature,3,Melissa Makala,Asynchronous,Online,,
ENGL,2120,World Literature,3,Melissa Makala,Asynchronous,Online,,
