Course,Course Number,Course Title,Credit Hours,Instructor,Days,Location,Start Time,End Time,Start TIme,End Time
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Hendrix Student Center,11:15:00 AM,12:05:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Biosystems Research Complex,11:15:00 AM,12:05:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Collge of Business,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Watt Family Innovation Center,9:30:00 AM,10:20:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Collge of Business,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Online,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Sirrine Hall,12:30:00 PM,1:20:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,TR,Dillard Building,9:30:00 AM,10:20:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Sirrine Hall,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Lowry Hall,10:10:00 AM,11:00:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Hendrix Student Center,10:10:00 AM,11:00:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Lowry Hall,11:15:00 AM,12:05:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Hendrix Student Center,8:00:00 AM,8:05:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Daniel Leland Fecher,MW,Collge of Business,11:15:00 AM,12:05:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,9:05:00 AM,9:55:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,11:15:00 AM,12:05:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,9:00:00 AM,9:55:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Collge of Business,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,8:00:00 AM,8:50:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Sirrine Hall,9:05:00 AM,9:55:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,10:10:00 AM,11:00:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,9:05:00 AM,9:55:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,MW,Online,10:10:00 AM,11:00:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Vanessa Anne Condon,TR,Hendrix Student Center,9:30:00 AM,10:20:00 AM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Vanessa Anne Condon,TR,Sirrine Hall,2:00:00 PM,2:50:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Vanessa Anne Condon,TR,Watt Family Innovation Center,12:30:00 PM,1:20:00 PM,,
COMM,1501,Introduction to Human Communication Laboratory,0,Marianne Herr Glaser,TR,Freeman Hall,9:30:00 AM,10:20:00 AM,,
ENGL,2120,World Literature,3,Kenneth Michael Tuite,TR,Online,8:00:00 AM,9:15:00 AM,,
ENGL,2120,World Literature,3,David Charles Foltz,MWF,Online,1:25:00 PM,2:15:00 PM,,
ENGL,2120,World Literature,3,Kenneth Michael Tuite,TR,Online,11:00:00 AM,12:15:00 PM,,
ENGL,2120,World Literature,3,Andrew P Mathas,TR,Online,12:30:00 PM,1:45:00 PM,,
ENGL,2120,World Literature,3,David Charles Foltz,MWF,Online,12:02:00 PM,1:10:00 PM,,
ENGL,2120,World Literature,3,Andrew P Mathas,TR,Online,2:00:00 PM,3:15:00 PM,,
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Sarah M Cooper,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,8:00:00 AM,8:50:00 AM,,
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,9:05:00 AM,9:55:00 AM,,
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,10:10:00 AM,11:00:00 AM,,
ENGL,2120,World Literature,3,Lucian Ghita,MWF,Online,11:15:00 AM,12:05:00 PM,,
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Caitlin Grace Watt,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,April Ayers Lawson,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,April Ayers Lawson,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Karen N Kettnich,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Karen N Kettnich,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Melissa Makala,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Melissa Makala,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Melissa Makala,Asynchronous,Online,,,,
ENGL,2120,World Literature,3,Angela M Naimou,TR,Daniel Hall,2:00:00 PM,3:15:00 PM,,
CH,1020,General Chemistry,4,Dennis F Taylor,MWF,Online,9:05:00 AM,9:55:00 AM,,
CH,1020,General Chemistry,4,Tania Houjeiry,MWF,Hendrix Student Center,10:10:00 AM,11:00:00 AM,,
CH,1020,General Chemistry,4,William Wesley McWHorter,MWF,Tillman Hall,11:15:00 AM,12:05:00 PM,,
CH,1020,General Chemistry,4,William Wesley McWHorter,MWF,Tillman Hall,12:20:00 PM,1:10:00 PM,,
CH,1020,General Chemistry,4,Olt E Geiculescu,MWF,Brooks Center/Performing Arts,1:25:00 PM,2:15:00 PM,,
CH,1020,General Chemistry,4,Jacob D Schroeder,TR,Online,8:00:00 AM,9:15:00 AM,,
CH,1020,General Chemistry,4,MyCia Cox,TR,Online,9:30:00 AM,10:45:00 AM,,
CH,1020,General Chemistry,4,Jacob D Schroeder,TR,Online,11:00:00 AM,12:15:00 PM,,
CH,1020,General Chemistry,4,Jacob D Schroeder,TR,Online,2:00:00 PM,3:15:00 PM,,
CH,1020,General Chemistry,4,Stephen Jon Schvaneveldt,MWF,Strom Thurmond Institute,11:15:00 AM,12:05:00 PM,,
CH,1020,General Chemistry,4,Shiou-jyh Hwu,TR,Holtzendorff Hall,11:00:00 AM,12:15:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,M,Online,9:05:00 AM,11:55:00 AM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,M,Online,12:20:00 PM,3:10:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,M,Online,3:35:00 PM,6:25:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,9:30:00 AM,12:20:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,12:30:00 PM,3:20:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,3:30:00 PM,6:20:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,T,Online,6:30:00 PM,9:20:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,W,Online,9:05:00 AM,11:55:00 AM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,W,Online,12:20:00 PM,3:10:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,W,Online,3:35:00 PM,6:25:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,9:30:00 AM,12:20:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,12:30:00 PM,3:20:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,3:30:00 PM,6:20:00 PM,,
CH,1021,General Chemistry Laboratory,0,Vivian Chibuzo Ezeh,R,Online,6:30:00 PM,9:20:00 PM,,
